activity_event_id,asset_id,geo,origin_measurement_timestamp,scope,category,activity,source,raw_data,units
carbon-lake-OIOK751,vehicle101,"[22.4937132,91.5015009]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,9,gal
carbon-lake-OIOK752,vehicle102,"[31.0424566,30.4727503]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,24,gal
carbon-lake-ILVK132,vehicle100,"[49.3909134,30.1988199]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,73,gal
carbon-lake-MBLI188,vehicle103,"[61.2559503,73.3845471]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-ZHM9645,vehicle102,"[63.1708738,32.3462495]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,199,gal
carbon-lake-KODO714,vehicle103,"[37.175532,121.790282]",2019-07,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,52,gal
carbon-lake-OQSL849,vehicle102,"[49.05018,-76.98273]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,18,gal
carbon-lake-RQQC215,vehicle101,"[33.7282738,135.9914552]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,47,gal
carbon-lake-XBI5439,vehicle102,"[41.2080707,-8.1650422]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,57,gal
carbon-lake-UHDB554,vehicle100,"[8.2673715,-72.0631118]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,120,gal
carbon-lake-FWYM342,vehicle103,"[57.1879589,27.6825031]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,198,gal
carbon-lake-UQB2032,vehicle102,"[7.8726899,-11.3402694]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,121,gal
