scope,category,lookup name,CO2 Factor (kg / unit),CH4 Factor (kg / unit),N2O Factor (kg / unit),Biofuel?,AR4 (kgCO2e),AR5 (kgCO2e),Units,Source
1,mobile-combustion,Electricity - Mobile - Electric Vehicle,0,0,0,,0,0,kWh,"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,8.78,0.00038925,0.000081,,8.81386925,8.812364,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,"Motor Gasoline - Gasoline Light-duty Trucks (Vans, Pickup Trucks, SUVs)",8.78,0.00026406,0.00010692,,8.81846366,8.81572748,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Gasoline Heavy-duty Vehicles,8.78,0.00029304,0.00011792,,8.82246616,8.81945392,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Diesel Passenger Cars,10.21,0.00001125,0.0000225,,10.21698625,10.2162775,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Diesel Light-duty Trucks,10.21,0.0000162,0.0000243,,10.2176464,10.2168931,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Diesel Medium- and Heavy-duty Vehicles,10.21,0.00004488,0.00004224,,10.22370952,10.22245024,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Biodiesel (100%) - Biodiesel Passenger Cars,,0.00001125,0.0000225,9.45,0.00698625,0.0062775,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Biodiesel (100%) - Biodiesel Light-duty Vehicles,,0.0000081,0.0000162,9.45,0.0050301,0.0045198,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Biodiesel (100%) - Biodiesel Medium- and Heavy-duty Vehicles,,0.000044,0.000044,9.45,0.014212,0.012892,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Compressed Natural Gas - CNG Light-duty Vehicles,0.40723948,0.089312914,0.006059221,,4.44571013,4.513694587,scf,"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Compressed Natural Gas - CNG Medium- and Heavy-duty Vehicles,0.40723948,0.129418971,0.01152,,7.075673766,7.08377068,scf,"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
