activity_event_id,asset_id,geo,origin_measurement_timestamp,scope,category,activity,source,raw_data,units
carbon-lake-LMNH652,vehicle101,"[22.4937132,91.5015009]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,9,gal
carbon-lake-OIOK752,vehicle102,"[31.0424566,30.4727503]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,24,gal
carbon-lake-ILVK132,vehicle100,"[49.3909134,30.1988199]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,73,gal
carbon-lake-MBLI188,vehicle103,"[61.2559503,73.3845471]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-ZHM9645,vehicle102,"[63.1708738,32.3462495]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,199,gal
carbon-lake-KODO714,vehicle103,"[37.175532,121.790282]",2019-07,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,52,gal
carbon-lake-OQSL849,vehicle102,"[49.05018,-76.98273]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,18,gal
carbon-lake-RQQC215,vehicle100,"[33.7282738,135.9914552]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,47,gal
carbon-lake-XBI5439,vehicle102,"[41.2080707,-8.1650422]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,57,gal
carbon-lake-UHDB554,vehicle100,"[8.2673715,-72.0631118]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,120,gal
carbon-lake-FWYM342,vehicle103,"[57.1879589,27.6825031]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,198,gal
carbon-lake-UQB2032,vehicle102,"[7.8726899,-11.3402694]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,121,gal
carbon-lake-PTP1253,vehicle102,"[40.1667409,44.2123603]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,178,gal
carbon-lake-BOUY400,vehicle100,"[-7.4066528,108.7719766]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,50,gal
carbon-lake-ZEGL817,vehicle101,"[-6.9206542,39.2187828]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,40,gal
carbon-lake-MBUO082,vehicle100,"[15.8507092,120.3947577]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,127,gal
carbon-lake-NRV4178,vehicle102,"[-23.006144,-46.8422385]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,100,gal
carbon-lake-LOWX760,vehicle100,"[38.8053078,-9.2279436]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,182,gal
carbon-lake-IJTW055,vehicle100,"[34.8066794,32.4212424]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,177,gal
carbon-lake-THQE818,vehicle103,"[18.6367692,-69.2696692]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-LMHL759,vehicle102,"[50.1801755,28.7362455]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,17,gal
carbon-lake-EPWA326,vehicle102,"[34.9810045,35.9438027]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,88,gal
carbon-lake-ZBE0112,vehicle102,"[-9.6665263,120.2465683]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,9,gal
carbon-lake-DNC6833,vehicle101,"[-11.4077673,-69.4887886]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,191,gal
carbon-lake-PWNR312,vehicle101,"[7.8023204,6.733343]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,88,gal
carbon-lake-GMTG728,vehicle100,"[49.6766897,19.6231329]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-CWVN108,vehicle103,"[15.479529,44.2166214]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,130,gal
carbon-lake-BYCC312,vehicle103,"[37.7181398,-122.4863492]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,122,gal
carbon-lake-GVH4644,vehicle103,"[53.2264,78.9845]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,70,gal
carbon-lake-WRNF935,vehicle102,"[-39.4886902,176.9054195]",2019-07,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,7,gal
carbon-lake-ALDC711,vehicle102,"[-19.0153937,-65.5366243]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,94,gal
carbon-lake-IGV3252,vehicle102,"[24.874132,118.675675]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,23,gal
carbon-lake-BIZV456,vehicle101,"[50.4216642,14.3468802]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,177,gal
carbon-lake-XVVJ955,vehicle102,"[59.2416497,14.4338249]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,38,gal
carbon-lake-ZTAP864,vehicle100,"[-8.6742387,115.1647919]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,1,gal
carbon-lake-ZPTY156,vehicle100,"[-17.1406793,-71.8230371]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,10,gal
carbon-lake-MMK4922,vehicle101,"[22.299866,113.058484]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,174,gal
carbon-lake-BBDY780,vehicle103,"[45.991471,4.718821]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,85,gal
carbon-lake-HOXR106,vehicle101,"[32.388662,119.39402]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,132,gal
carbon-lake-RGOV324,vehicle103,"[48.4012026,26.2777899]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,90,gal
